               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  97,            0.028647,            0.028039,           0.0055888,             0.76509,             0.63637,             0.68993,              0.4406,            0.039226,            0.028492,            0.014323,            0.003664,            0.003664,            0.003664
                  98,            0.028366,            0.027303,           0.0057053,             0.75981,             0.63174,              0.6869,             0.43874,            0.039344,            0.028884,            0.014909,            0.003598,            0.003598,            0.003598
                  99,            0.028028,            0.027298,           0.0057902,             0.76242,             0.62637,             0.69219,             0.44239,            0.039176,            0.028726,             0.01478,            0.003532,            0.003532,            0.003532
                 100,            0.028217,            0.027194,           0.0055284,             0.74459,             0.63766,             0.69141,             0.44177,            0.039228,            0.028914,             0.01505,            0.003466,            0.003466,            0.003466
                 101,            0.028148,            0.026866,           0.0060137,             0.76466,             0.62943,             0.68941,             0.44364,            0.039076,            0.028832,            0.015056,              0.0034,              0.0034,              0.0034
                 102,            0.027878,            0.026939,           0.0054844,              0.7816,             0.62179,             0.69123,             0.44426,            0.039009,            0.029026,            0.014445,            0.003334,            0.003334,            0.003334
                 103,            0.027796,             0.02703,             0.00579,              0.7707,             0.61989,             0.68793,             0.44214,            0.039115,            0.028887,            0.014175,            0.003268,            0.003268,            0.003268
                 104,            0.027623,            0.027352,           0.0057958,               0.749,             0.63359,               0.686,             0.43788,            0.039087,            0.028952,            0.014607,            0.003202,            0.003202,            0.003202
                 105,            0.027333,            0.026801,            0.005533,             0.77096,               0.615,             0.68647,             0.43947,            0.039053,            0.028889,            0.014201,            0.003136,            0.003136,            0.003136
                 106,            0.027464,            0.026886,           0.0053224,             0.77777,             0.62505,              0.6911,             0.44405,            0.039043,            0.028987,            0.014516,             0.00307,             0.00307,             0.00307
                 107,            0.027374,            0.026775,           0.0051106,             0.76214,                0.63,             0.68298,             0.44437,            0.039342,            0.029171,            0.014905,            0.003004,            0.003004,            0.003004
                 108,            0.027248,              0.0265,           0.0055705,             0.76609,             0.63414,             0.69013,             0.44379,             0.03923,            0.029256,            0.014767,            0.002938,            0.002938,            0.002938
                 109,            0.027182,            0.026288,           0.0054519,             0.76367,             0.62773,             0.68771,             0.44651,            0.039121,            0.029284,            0.014733,            0.002872,            0.002872,            0.002872
                 110,            0.027193,            0.026652,           0.0053082,             0.78026,             0.61933,              0.6953,             0.45056,            0.038927,            0.028849,            0.014038,            0.002806,            0.002806,            0.002806
                 111,            0.027024,            0.026384,           0.0052263,             0.75924,             0.64187,             0.69231,             0.44375,            0.039205,            0.029098,            0.014479,             0.00274,             0.00274,             0.00274
                 112,            0.026749,            0.026192,           0.0049195,             0.77396,             0.63075,             0.69785,             0.44871,            0.039087,            0.029027,            0.014674,            0.002674,            0.002674,            0.002674
                 113,             0.02666,            0.025903,           0.0050763,             0.79097,             0.62387,              0.7012,             0.45063,            0.038972,            0.029075,              0.0144,            0.002608,            0.002608,            0.002608
                 114,            0.026651,            0.026018,            0.005112,             0.77942,             0.62997,             0.69925,             0.45322,            0.038978,            0.029374,            0.014062,            0.002542,            0.002542,            0.002542
                 115,            0.026503,              0.0262,           0.0050212,              0.7748,             0.63128,             0.69494,             0.45173,              0.0391,             0.02956,            0.014243,            0.002476,            0.002476,            0.002476
                 116,            0.026477,            0.025282,           0.0050929,              0.7675,              0.6355,             0.69271,             0.45045,            0.038942,            0.029704,            0.014249,             0.00241,             0.00241,             0.00241
                 117,            0.026352,             0.02563,           0.0050766,             0.79011,             0.62268,             0.69544,             0.45135,            0.039006,            0.029746,            0.014331,            0.002344,            0.002344,            0.002344
                 118,            0.026635,            0.026524,           0.0049009,             0.76904,             0.63309,             0.69682,             0.45077,            0.038953,             0.02968,            0.014364,            0.002278,            0.002278,            0.002278
                 119,            0.026197,            0.026044,           0.0050635,             0.77448,             0.63321,             0.69768,             0.45339,            0.039094,            0.029632,            0.014561,            0.002212,            0.002212,            0.002212
                 120,            0.026135,            0.025652,           0.0049631,              0.7628,             0.63182,             0.69725,             0.45419,            0.039239,            0.029539,            0.014436,            0.002146,            0.002146,            0.002146
                 121,             0.02643,            0.026266,           0.0047424,             0.75544,             0.63756,             0.69922,              0.4534,            0.039203,            0.029588,            0.014229,             0.00208,             0.00208,             0.00208
                 122,            0.025938,            0.025466,           0.0049673,             0.77286,             0.62998,             0.69622,             0.45036,            0.039354,            0.029557,            0.014411,            0.002014,            0.002014,            0.002014
                 123,             0.02554,            0.024901,           0.0047254,             0.77504,              0.6253,             0.69788,             0.45161,            0.039316,            0.029798,            0.014619,            0.001948,            0.001948,            0.001948
                 124,            0.025641,             0.02566,           0.0046783,             0.77156,             0.63584,             0.69724,             0.45636,            0.039188,            0.029889,            0.014614,            0.001882,            0.001882,            0.001882
                 125,             0.02551,             0.02563,           0.0047076,             0.77755,             0.63123,             0.69945,             0.45101,            0.039266,             0.03007,             0.01483,            0.001816,            0.001816,            0.001816
                 126,            0.025746,            0.025129,           0.0047067,             0.77169,             0.63938,             0.69985,             0.45561,            0.039236,            0.030028,            0.014744,             0.00175,             0.00175,             0.00175
                 127,            0.025552,            0.025516,           0.0043704,             0.75663,             0.64398,             0.69888,             0.45481,            0.039226,            0.029939,            0.015174,            0.001684,            0.001684,            0.001684
                 128,            0.025274,            0.025123,            0.004405,             0.76111,             0.64878,             0.69759,             0.45547,            0.039272,             0.02996,            0.015007,            0.001618,            0.001618,            0.001618
                 129,            0.025045,            0.024753,           0.0046561,             0.77363,             0.63764,             0.70118,             0.45573,            0.039347,            0.030171,            0.014805,            0.001552,            0.001552,            0.001552
